vf,width,thickness,k11,k33,p,t,h
0.28056,0.94581,0.64119,1.23964,0.38196,1,0,0
0.11569,0.03969,0.54069,0.40723,0.21967,1,0,0
0.04556,0.63106,0.09044,0.78233,0.21789,1,0,0
0.10119,0.24894,0.52919,0.56989,0.24359,1,0,0
0.37944,0.86781,0.82269,1.29977,0.4463,1,0,0
0.51769,0.27419,0.43656,0.98883,0.28762,1,0,0
0.51744,0.75294,0.96056,1.39265,0.50305,1,0,0
0.33044,0.09194,0.16956,0.61661,0.2125,1,0,0
0.28106,0.54156,0.21869,1.06994,0.25556,1,0,0
0.23669,0.53644,0.70144,0.94705,0.33556,1,0,0
0.72706,0.49844,0.03319,1.65537,0.28313,1,0,0
0.10594,0.55356,0.07281,0.83106,0.22012,1,0,0
0.10219,0.16606,0.83831,0.48577,0.26402,1,0,0
0.30306,0.95819,0.31881,1.39291,0.30892,1,0,0
0.75356,0.31956,0.22531,1.29845,0.28676,1,0,0
0.87106,0.52906,0.02181,1.96043,0.31274,1,0,0
0.53994,0.97844,0.58981,1.73617,0.44366,1,0,0
0.00894,0.50469,0.33681,0.65113,0.23201,1,0,0
0.01294,0.38556,0.04956,0.58978,0.2037,1,0,0
0.01956,0.93006,0.29531,0.84741,0.24801,1,0,0
0.70469,0.61981,0.37169,1.78479,0.3708,1,0,0
0.00831,0.13769,0.98581,0.40304,0.25959,1,0,0
0.68144,0.45619,0.27481,1.47156,0.31162,1,0,0
0.13469,0.60219,0.81769,0.80885,0.33751,1,0,0
0.62094,0.78194,0.39519,1.85574,0.38496,1,0,0
0.90256,0.16306,0.02094,1.15065,0.24431,1,0,0
0.57219,0.50481,0.54719,1.38255,0.364,1,0,0
0.78144,0.21669,0.20369,1.14046,0.26702,1,0,0
0.92244,0.78844,0.89569,2.10669,0.64434,1,0,0
0.59506,0.65731,0.64381,1.6013,0.43173,1,0,0
0.16494,0.92106,0.41806,1.09758,0.30179,1,0,0
0.54619,0.19419,0.29831,0.86012,0.25003,1,0,0
0.93894,0.07594,0.16581,0.94296,0.24547,1,0,0
0.62231,0.44181,0.77756,1.28884,0.40907,1,0,0
0.82394,0.50494,0.48819,1.74915,0.40585,1,0,0
0.25956,0.12431,0.43981,0.59449,0.23637,1,0,0
0.19819,0.97606,0.88906,0.99323,0.40695,1,0,0
0.84844,0.57369,0.51194,1.88293,0.43465,1,0,0
0.81331,0.78444,0.72694,2.05232,0.54915,1,0,0
0.69281,0.35919,0.06481,1.33198,0.25954,1,0,0
